Time,hull Moment Monitor: hull Moment Monitor (N-m),tank Moment Monitor: tank Moment Monitor (N-m),Total Moment Monitor: Total Moment Monitor (N-m)
10.25,-7.12E+08,3.27E+09,2.55E+09
10.3,-7.54E+08,3.13E+09,2.37E+09
10.4,-7.01E+08,3.14E+09,2.43E+09
10.45,-6.82E+08,3.26E+09,2.58E+09
10.5,-7.21E+08,3.13E+09,2.41E+09
10.55,-6.55E+08,3.25E+09,2.60E+09
10.6,-7.48E+08,3.14E+09,2.39E+09
10.7,-7.30E+08,3.14E+09,2.41E+09
10.75,-7.40E+08,3.26E+09,2.52E+09
10.8,-8.11E+08,3.14E+09,2.33E+09
10.85,-7.82E+08,3.27E+09,2.49E+09
10.9,-8.39E+08,3.16E+09,2.32E+09
11,-8.97E+08,3.16E+09,2.27E+09
11.05,-9.40E+08,3.29E+09,2.35E+09
11.1,-1.02E+09,3.17E+09,2.15E+09
11.15,-9.92E+08,3.29E+09,2.30E+09
11.2,-1.10E+09,3.20E+09,2.11E+09
11.3,-1.20E+09,3.21E+09,2.02E+09
11.35,-1.22E+09,3.33E+09,2.11E+09
11.4,-1.30E+09,3.23E+09,1.93E+09
11.45,-1.32E+09,3.35E+09,2.03E+09
11.55,-1.46E+09,3.36E+09,1.90E+09
11.6,-1.90E+09,3.30E+09,1.39E+09
11.65,-1.72E+09,3.41E+09,1.68E+09
11.7,-2.39E+09,3.36E+09,9.68E+08
11.75,-2.75E+09,3.47E+09,7.16E+08
11.85,-2.47E+09,3.55E+09,1.08E+09
11.9,-3.17E+09,3.47E+09,3.02E+08
11.95,-2.18E+09,3.53E+09,1.35E+09
12,-3.12E+09,3.47E+09,3.54E+08
12.05,-2.52E+09,3.53E+09,1.01E+09
12.15,-2.80E+09,3.54E+09,7.47E+08
12.2,-2.96E+09,3.52E+09,5.63E+08
12.25,-2.89E+09,3.56E+09,6.76E+08
12.3,-3.12E+09,3.54E+09,4.15E+08
12.35,-3.05E+09,3.58E+09,5.28E+08
12.45,-3.25E+09,3.60E+09,3.52E+08
12.5,-3.38E+09,3.60E+09,2.17E+08
12.55,-3.40E+09,3.63E+09,2.32E+08
12.6,-3.56E+09,3.63E+09,6.92E+07
12.7,-3.73E+09,3.68E+09,-5.82E+07
12.75,-3.93E+09,3.69E+09,-2.45E+08
12.8,-4.00E+09,3.72E+09,-2.79E+08
12.85,-4.12E+09,3.72E+09,-3.98E+08
12.9,-4.33E+09,3.76E+09,-5.71E+08
13,-4.59E+09,3.81E+09,-7.79E+08
13.05,-4.59E+09,3.79E+09,-8.03E+08
13.1,-4.73E+09,3.85E+09,-8.79E+08
13.15,-4.83E+09,3.82E+09,-1.01E+09
13.2,-5.02E+09,3.89E+09,-1.13E+09
13.3,-5.24E+09,3.93E+09,-1.30E+09
13.35,-5.21E+09,3.88E+09,-1.32E+09
13.4,-5.42E+09,3.97E+09,-1.45E+09
13.45,-5.39E+09,3.91E+09,-1.48E+09
13.5,-5.61E+09,4.00E+09,-1.61E+09
13.6,-5.72E+09,4.04E+09,-1.69E+09
13.65,-5.81E+09,3.96E+09,-1.85E+09
13.7,-5.96E+09,4.07E+09,-1.90E+09
13.75,-5.93E+09,3.99E+09,-1.94E+09
13.85,-6.12E+09,4.02E+09,-2.10E+09
13.9,-6.29E+09,4.14E+09,-2.16E+09
13.95,-6.32E+09,4.03E+09,-2.29E+09
14,-6.46E+09,4.18E+09,-2.28E+09
14.05,-6.48E+09,4.07E+09,-2.41E+09
14.15,-6.60E+09,4.08E+09,-2.52E+09
14.2,-6.79E+09,4.22E+09,-2.57E+09
14.25,-6.71E+09,4.11E+09,-2.60E+09
14.3,-6.94E+09,4.24E+09,-2.70E+09
14.35,-6.82E+09,4.12E+09,-2.70E+09
14.45,-6.98E+09,4.14E+09,-2.84E+09
14.5,-7.09E+09,4.29E+09,-2.80E+09
14.55,-7.05E+09,4.15E+09,-2.90E+09
14.6,-7.24E+09,4.31E+09,-2.93E+09
14.65,-7.11E+09,4.17E+09,-2.95E+09
14.75,-7.22E+09,4.17E+09,-3.05E+09
14.8,-7.31E+09,4.34E+09,-2.97E+09
14.85,-7.24E+09,4.18E+09,-3.06E+09
14.9,-7.42E+09,4.35E+09,-3.06E+09
15,-7.36E+09,4.35E+09,-3.00E+09
15.05,-7.34E+09,4.19E+09,-3.16E+09
15.1,-7.38E+09,4.37E+09,-3.02E+09
15.15,-7.32E+09,4.20E+09,-3.12E+09
15.2,-7.40E+09,4.36E+09,-3.04E+09
15.3,-7.38E+09,4.34E+09,-3.03E+09
15.35,-7.29E+09,4.19E+09,-3.10E+09
15.4,-7.29E+09,4.35E+09,-2.94E+09
15.45,-7.26E+09,4.19E+09,-3.07E+09
15.5,-7.27E+09,4.33E+09,-2.93E+09
15.6,-7.18E+09,4.33E+09,-2.84E+09
15.65,-7.14E+09,4.18E+09,-2.97E+09
15.7,-7.12E+09,4.31E+09,-2.81E+09
15.75,-7.05E+09,4.16E+09,-2.89E+09
15.8,-7.00E+09,4.30E+09,-2.70E+09
15.9,-6.93E+09,4.28E+09,-2.65E+09
15.95,-6.84E+09,4.14E+09,-2.70E+09
16,-6.79E+09,4.26E+09,-2.54E+09
16.05,-6.71E+09,4.12E+09,-2.59E+09
16.15,-6.58E+09,4.10E+09,-2.48E+09
16.2,-6.54E+09,4.22E+09,-2.33E+09
16.25,-6.47E+09,4.08E+09,-2.39E+09
16.3,-6.43E+09,4.19E+09,-2.24E+09
16.35,-6.30E+09,4.07E+09,-2.23E+09
16.45,-6.15E+09,4.04E+09,-2.11E+09
16.5,-6.05E+09,4.13E+09,-1.92E+09
16.55,-6.00E+09,4.02E+09,-1.98E+09
16.6,-5.93E+09,4.10E+09,-1.83E+09
16.65,-5.76E+09,3.99E+09,-1.77E+09
16.75,-5.58E+09,3.96E+09,-1.61E+09
16.8,-5.49E+09,4.02E+09,-1.47E+09
16.85,-5.38E+09,3.93E+09,-1.46E+09
16.9,-5.28E+09,3.98E+09,-1.29E+09
16.95,-5.18E+09,3.90E+09,-1.28E+09
17.05,-4.95E+09,3.87E+09,-1.07E+09
17.1,-4.83E+09,3.90E+09,-9.30E+08
17.15,-4.73E+09,3.83E+09,-9.01E+08
17.2,-4.61E+09,3.86E+09,-7.52E+08
17.3,-4.45E+09,3.82E+09,-6.28E+08
17.35,-4.35E+09,3.78E+09,-5.74E+08
17.4,-4.27E+09,3.79E+09,-4.77E+08
17.45,-4.18E+09,3.76E+09,-4.23E+08
17.5,-4.08E+09,3.76E+09,-3.22E+08
17.6,-3.87E+09,3.72E+09,-1.53E+08
17.65,-3.76E+09,3.70E+09,-6.01E+07
17.7,-3.69E+09,3.68E+09,-1.54E+07
17.75,-3.53E+09,3.66E+09,1.30E+08
17.8,-3.46E+09,3.64E+09,1.72E+08
17.9,-3.28E+09,3.59E+09,3.07E+08
17.95,-3.04E+09,3.60E+09,5.60E+08
18,-3.02E+09,3.55E+09,5.25E+08
18.05,-2.84E+09,3.56E+09,7.21E+08
18.1,-2.43E+09,3.49E+09,1.06E+09
18.2,-2.08E+09,3.43E+09,1.35E+09
